,x,y,rate,kmeans,labels
RN16OOH-->RN15AO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RA22NO3-->UDCARB14+CARB6+NO2+HO2,-21.194408416748047,-62.920650482177734,(J(54)),2,1
RI15OOH-->CH3COCH3+CH3CHO+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN31NO3-->RN30O2+NO2,-21.466426849365234,-63.72970962524414,(J(53)),2,1
CARB28-->CARB14+RN14O2+HO2,-22.939828872680664,-68.09748077392578,(J(22)*4.58),2,1
RN22NO3-->RN21O2+NO2,-21.466426849365234,-63.72970962524414,(J(53)),2,1
NRN9OOH-->HCHO+CH3CHO+NO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RI14OOH-->CH3COCH3+CH3CO3+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
NO2-->O+NO,-28.395845413208008,-84.29146575927734,(J(4)),2,1
RTX24NO3-->TXCARB22+NO2+HO2,-21.194408416748047,-62.920650482177734,(J(54)),2,1
NRTN28OOH-->TNCARB26+NO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
MEK-->C2H5O2+CH3CO3,-21.834381103515625,-64.8177719116211,(J(22)),2,1
RU10NO3-->HOCH2CHO+CH3CO3+NO2,-23.143634796142578,-68.69591522216797,(J(56)*1.6),2,1
UDCARB20-->RN19O2+HO2,-25.119384765625,-74.57122039794922,(J(4)*0.02*0.55),2,1
UCARB12-->CO+HOCH2CHO+CH3CO3+HO2,-20.845842361450195,-61.8903694152832,(J(18)*0.5),2,1
MPRK-->RN10O2+CH3CO3,-21.834381103515625,-64.8177719116211,(J(22)),2,1
RN21OOH-->CARB11+C2H5CHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CARB19-->RN11O2+C2H5CHO+HO2,-22.013717651367188,-65.34983825683594,(J(22)*1.28),2,1
RN9OOH-->HCHO+CH3CHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RA16BOOH-->RAROH14+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RTX22OOH-->CH3COCH3+RN13O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CARB10-->CH3CO3+CH3CHO+HO2,-21.834381103515625,-64.8177719116211,(J(22)),2,1
RA28OOH-->UDCARB20+CARB6+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RU14NO3-->UCARB10+HCHO+NO2+HO2,-20.657684326171875,-61.33099365234375,(J(55)*0.78),2,1
RN22OOH-->RN21AO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RA25NO3-->UDCARB17+CARB6+NO2+HO2,-21.194408416748047,-62.920650482177734,(J(54)),2,1
CARB13-->RN8O2+CH3CHO+HO2,-22.632476806640625,-67.18560028076172,(J(22)*3.00),2,1
RN14OOH-->RN13O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CARB15-->2RN8O2,-26.055667877197266,-77.3402099609375,(J(35)),2,1
CARB30-->RN17O2+RN14O2,-26.055667877197266,-77.3402099609375,(J(35)),2,1
HNO3-->NO2+OH,-20.533824920654297,-60.96253967285156,(J(8)),2,1
RTN23OOH-->RTN14O2+CH3COCH3+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
DHPCARB9-->CARB6+HCHO+2OH,-23.045425415039062,-68.41636657714844,(J(41)*2),2,1
RN19OOH-->RN18AO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RI11OOH-->IC3H7O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN15OOH-->C2H5CHO+CH3CHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN30OOH-->2CARB14+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
TNCARB26-->RTN26O2+HO2,-22.95063018798828,-68.1298599243164,(J(15)),2,1
RA13OOH-->UDCARB8+CARB3+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CARB20-->RN8O2+RN13O2,-21.834381103515625,-64.8177719116211,(J(22)),2,1
HCHO-->CO+2HO2,-23.768692016601562,-70.55461883544922,(J(11)),2,1
CARB21-->2RN11O2,-26.055667877197266,-77.3402099609375,(J(35)),2,1
CARB11A-->C2H5O2+CH3CO3,-21.834381103515625,-64.8177719116211,(J(22)),2,1
RTN14OOH-->TNCARB10+HCHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
C2H5CHO-->CO+C2H5O2+HO2,-22.689682006835938,-67.3548355102539,(J(14)),2,1
NRTX28OOH-->TXCARB24+HCHO+NO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RU10OOH-->HOCH2CHO+CH3CO3+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN31OOH-->RN30AO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RA22OOH-->UDCARB14+CARB6+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN13NO3-->C2H5O2+CH3CHO+NO2,-20.797107696533203,-61.7440071105957,(J(53)*0.398),2,1
CARB14-->RN10O2+CH3CO3,-22.96476936340332,-68.17147827148438,(J(22)*4.74),2,1
HOC2H4OOH-->2HCHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
H2O2-->2OH,-22.73211097717285,-67.48534393310547,(J(3)),2,1
BENZAL-->RAROH14+CO+HO2,-21.852922439575195,-64.87825775146484,(J(18)*2),2,1
NUCARB12-->HUCARB9+CO+NO2+OH,-24.31280517578125,-72.1646957397461,(J(56)*8),2,1
CARB29-->RN14O2+RN16O2,-21.834381103515625,-64.8177719116211,(J(22)),2,1
CARB23-->RN11O2+RN13O2,-21.834381103515625,-64.8177719116211,(J(22)),2,1
RE18NO3-->ECARB13+CH3O2+NO2,-21.194408416748047,-62.920650482177734,(J(54)),2,1
RN10NO3-->C2H5CHO+NO2+HO2,-21.466426849365234,-63.72970962524414,(J(53)),2,1
RN37NO3-->RN36O2+NO2,-21.466426849365234,-63.72970962524414,(J(53)),2,1
RI16NO3-->CH3COCH3+C2H5O2+NO2,-20.838199615478516,-61.86650466918945,(J(55)),2,1
MIBK-->RI13O2+CH3CO3,-21.834381103515625,-64.8177719116211,(J(22)),2,1
UDCARB8-->ANHY+2HO2,-24.811508178710938,-73.65776824951172,(J(4)*0.02*0.36),2,1
IC3H7NO3-->CH3COCH3+NO2+HO2,-21.194408416748047,-62.920650482177734,(J(54)),2,1
RE12NO3-->ECARB7+CH3O2+NO2,-21.194408416748047,-62.920650482177734,(J(54)),2,1
RTX24OOH-->TXCARB22+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CH3CO3H-->CH3O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
MIPK-->IC3H7O2+CH3CO3,-21.834381103515625,-64.8177719116211,(J(22)),2,1
RI13OOH-->CH3COCH3+CH3O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
O3-->O,-26.578733444213867,-78.847412109375,(J(2)),2,2
HUCARB9-->CO+CARB6+HO2+OH,-25.603832244873047,-76.00923919677734,(J(20)*0.5),2,1
TNCARB10-->CO+2CH3CO3,-25.5521183013916,-75.84626007080078,(J(35)*0.5),2,1
CARB16-->RN8O2+C2H5CHO+HO2,-22.71263885498047,-67.42343139648438,(J(22)*3.35),2,1
RN24OOH-->2CARB11+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
UDCARB14-->ANHY+C2H5O2+HO2,-24.973609924316406,-74.13871002197266,(J(4)*0.02*0.45),2,1
RA13NO3-->UDCARB8+CARB3+NO2+HO2,-21.194408416748047,-62.920650482177734,(J(54)),2,1
MTBK-->RI13O2+CH3CO3,-21.834381103515625,-64.8177719116211,(J(22)),2,1
NRU14OOH-->NUCARB12+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CARB12-->RN8O2+CH3CO3,-26.055667877197266,-77.3402099609375,(J(35)),2,1
UCARB12-->RU12O2+HO2,-21.349388122558594,-63.384315490722656,(J(18)),2,1
RE15NO3-->ECARB13+NO2+HO2,-21.194408416748047,-62.920650482177734,(J(54)),2,1
CH3CHO-->CO+CH3O2+HO2,-21.47886085510254,-63.76738739013672,(J(13)),2,1
RN25OOH-->RN24AO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
HPUCARB12-->2CO+CARB7+HO2+OH,-25.603832244873047,-76.00923919677734,(J(20)*0.5),2,1
RN13NO3-->CARB11A+NO2+HO2,-21.09774398803711,-62.63589096069336,(J(53)*0.602),2,1
RA16OOH-->UDCARB11+CARB3+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RUA20OOH-->BENZAL+HCHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CH3OOH-->HCHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN23OOH-->RN22O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
NO3-->NO,-29.517078399658203,-87.55426788330078,(J(5)),2,2
RN27OOH-->CARB14+CARB11+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CH3NO3-->HCHO+NO2+HO2,-20.824031829833984,-61.822322845458984,(J(51)),2,1
RC18NO3-->CYHEXONE+NO2+HO2,-21.194408416748047,-62.920650482177734,(J(54)),2,1
RI17OOH-->CH3COCH3+RN8O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN29OOH-->RN28O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
UDCARB14-->RN13O2+HO2,-25.119384765625,-74.57122039794922,(J(4)*0.02*0.55),2,1
RN11OOH-->RN10O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN8OOH-->HCHO+CH3CO3+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN19NO3-->RN18O2+NO2,-21.466426849365234,-63.72970962524414,(J(53)),2,1
UDCARB8-->C2H5O2+HO2,-25.229476928710938,-74.89785766601562,(J(4)*0.02*0.64),2,1
RN34NO3-->RN33O2+NO2,-21.466426849365234,-63.72970962524414,(J(53)),2,1
NOA-->HCHO+CH3CO3+NO2,-22.802196502685547,-67.68292236328125,(J(56)),2,1
