,x,y,count,mean,std,min,25%,50%,75%,max
RN18O2,-0.4518904,-0.5248608,432.0,2.8062728886732025,0.6241802065535637,1.4648077709126046,2.379446158043441,2.8534400456317472,3.2675210579830196,3.8089461114533782
RN18OOH,-0.24764165,-0.45362452,432.0,4.885766595084442,0.06489877649646199,4.698532964961307,4.861388661473093,4.918431499564013,4.929127415175175,4.934461310382479
RN19AO2,-1.0341573,-0.006896008,432.0,2.8062728886732025,0.6241802065535637,1.4648077709126046,2.379446158043441,2.8534400456317472,3.2675210579830196,3.8089461114533782
RN19BO2,-0.6829424,-0.23839387,432.0,2.961729106154845,0.7037664883033131,1.472066135608345,2.4988918642745657,3.0619977189604324,3.5003526127483404,4.033682999137886
RN19NO3,0.27477318,-0.58915854,432.0,4.930883424070822,0.007958116312217491,4.907556067131825,4.928843221053847,4.935033264564461,4.9359276783864,4.936354099239053
RN19O2,-0.78396,-0.3816706,432.0,2.961729106154845,0.7037664883033131,1.472066135608345,2.4988918642745657,3.0619977189604324,3.5003526127483404,4.033682999137886
RN19OOH,-0.44737077,-0.3851287,432.0,4.87695418202971,0.07497139256274735,4.661856517787941,4.847104877616285,4.91465246949147,4.927447275703711,4.933990468840403
RN20O2,-0.9160806,-0.17320877,432.0,2.708723310275078,0.5845329163646101,1.4515626735133518,2.29499344690719,2.729250500627269,3.1334444241307935,3.676407191801864
RN20OOH,0.3456401,-0.6683421,432.0,4.889182030909203,0.06092515849196741,4.713126555665636,4.86701954225269,4.919960425045473,4.929759147027305,4.934638007648075
RN21AO2,-0.47996658,-0.49731654,432.0,2.7946043102786353,0.624128912330872,1.4573640296399488,2.366165814848376,2.8411670626353653,3.256630176365801,3.7988875885755933
RN21NO3,0.19945487,-0.63451475,432.0,4.9202907548311225,0.02164476516653362,4.85263874273179,4.91405936806049,4.930699750561271,4.934140526638496,4.9358554226890385
RN21O2,-0.975942,-0.06543895,432.0,2.7946043102786353,0.624128912330872,1.4573640296399488,2.366165814848376,2.8411670626353653,3.256630176365801,3.7988875885755933
RN21OOH,0.099186294,-0.5796,432.0,4.871742687566677,0.08080878053432075,4.640793760146698,4.838667111541147,4.912214672848021,4.926419489876397,4.933701795872634
RN22AO2,-0.75803554,-0.37806416,432.0,2.7946043102786353,0.624128912330872,1.4573640296399488,2.366165814848376,2.8411670626353653,3.256630176365801,3.7988875885755933
RN22NO3,0.11832834,-0.5944665,432.0,4.92998825914599,0.009140349897749644,4.903056704473375,4.92755790261606,4.934712373561201,4.935797152218553,4.936318076467547
RN22O2,-1.0412955,-0.1693413,432.0,2.9447939623999964,0.7011588570803209,1.4644980238640204,2.4787593630364,3.042205737770152,3.481719679511369,4.0169370342128365
RN22OOH,0.09316209,-0.61178195,432.0,4.87558938432665,0.07650855003734595,4.656296954217867,4.844986284089619,4.914019132985665,4.927180579065727,4.93391560927403
RN23O2,-0.45828646,-0.46452898,432.0,2.701371456933515,0.5850723981385965,1.4459192392879245,2.2851461576338084,2.7221390692373886,3.1272259521376435,3.670596596866064
RN23OOH,0.44385302,-0.67585003,432.0,4.887621680245677,0.06274540691271654,4.70643225431297,4.864515423383945,4.919264791535255,4.929471882263393,4.934557681796933
RN24AO2,-0.6129698,-0.43082508,432.0,2.785722825250139,0.6240887805192908,1.4516452059701317,2.355825036588985,2.8318298114560374,3.248320911552836,3.7912005274416636
RN24NO3,0.44684508,-0.6479504,432.0,4.918420753688219,0.02406046072065699,4.84343511686016,4.911398463790893,4.929995690308041,4.933851660115469,4.935774871373349
RN24O2,-1.0469921,-0.17147757,432.0,2.7857228231562923,0.6240887831026398,1.4516451970514939,2.3558250352302914,2.831829811456034,3.24832091155283,3.791200527441661
