,x,y,group
C5O45OHCO3,-0.59170914,-3.5659769999999997,44
C622O2,-0.83787453,-5.410221599999999,-1
PRCOFORMO2,-0.9625727,-6.2580395,-1
DNCRES,-0.67568797,-4.832136599999999,-1
C4MOHOCO3,-0.6023918,-3.5731473,44
CH3OCH2O2,-1.4825454,0.23956949,32
C6H5O,-6.254521400000001,-39.32475,58
C827CO3,-0.8412149,-0.07503087,20
C810O2,-2.695776,0.57443076,-1
ACCOMECO3,-1.0656333,-0.0038726674,-1
MEKCOH,-1.3958093999999999,0.144733,-1
HOACETETO2,-1.7894248,0.32146385,-1
CH3COPAN,-0.6514976,-0.32802907,-1
CO2OH3MCO3,-1.1825774,0.13854086,-1
C6DICARB,-0.6718906,-0.47445550000000003,-1
ETOHOCHO,-0.81434906,-0.056185182,20
PRCOOMO2,-1.207072,0.13250501,28
CO1M22CO3,-0.6456350000000001,-0.54616094,-1
C7CO2OHCO3,-0.48091856,-0.66644955,-1
C533O2,-0.755189,-0.5270075,-1
C7MOHCOCO3,-0.40495417,-1.7758217,-1
CO2C4CHO,-0.8852827,-0.052383467999999996,23
C6EO2OHCO3,-1.1762348,0.1487705,-1
CH2OOF,-0.62923706,-0.4697014,13
C517CO3,-0.74756426,-4.292915,46
CH3C2H2O2,-0.92268234,-0.15696737,-1
C5COCHOO2,-0.68998003,-3.9032254,45
C915O2,-0.9179816999999999,-6.6267414,-1
IPROACET,-3.0543597,0.605275,-1
CO235C6,-1.7320438999999999,0.25974903,-1
TC4H9O,-9.5315485,1.9129578,-1
BOXCOEOLO2,-0.8079208999999999,-4.808311,-1
C4PAN6,-0.62532616,-0.41356233,9
DMKCOOH,-0.66985923,-0.38596195,4
C813O2,-2.4673307,0.5287896,-1
MALANHYO2,-0.77211624,-4.3176513,-1
C6H5OOH,-1.0437303,-6.421569,52
DNOETOL,-0.7218699000000001,-4.677817299999999,48
DNT123BOL,-0.72554666,-4.6539426,48
DNPETOL,-0.7228161999999999,-4.6938724999999994,48
H3M3C5O2,-0.7390599,-4.6872563,48
DNPHEN,-0.7162472,-4.673158,48
DNOXYOL,-0.7287173000000001,-4.712153,48
DNPBNZOL,-0.7245574,-4.6769443,48
DNIPBNZOL,-0.72184944,-4.6819267,48
DNEBNZOL,-0.72026634,-4.683008,48
C519CO3,-0.6205379,-0.6518105,-1
C927O,-0.48088127,-0.5135454,-1
DNMXYOL,-0.69859344,-4.873189,-1
MALANHY,-0.7149124,-4.2017846,46
DNPXYOL,-0.71873164,-4.7033385999999995,48
DNMETOL,-0.7245057,-4.691276599999999,48
C6134CO2OH,-0.6683324,-0.3309993,7
DNT124BOL,-0.71789277,-4.645715,-1
MOCOCH2O2,-1.0426034,0.08150911,24
NC5MDCO2H,-0.5325466999999999,-1.8918768,40
HM22C3O2,-0.6209273,-0.46722633,13
MECOACETO,-2.0601404,0.32846302,-1
PBZN,-0.58455205,-0.42712778,-1
HOCH2CO3H,-0.9923896999999999,-0.3286958,-1
NOPINDO2,-0.6802220999999999,-1.0393405,-1
C5PAN2,-0.87416095,-0.09371951,23
MALDIALCO3,-0.60488844,-0.679304,21
IPRMEETO2,-1.6244222,0.32535404,36
C917O2,-30.77546,6.1342125,-1
ETHACET,-2.18003,0.40821040000000003,-1
PHXN,-0.8657628,-0.026431838,-1
C7MJPCO3,-0.5159526,-3.7467415,44
C6MOHCOCO3,-0.8592347,-0.48720306,-1
C6145COO2,-0.8999299000000001,-6.40356,52
MACO3,-0.79201937,-0.31600642,-1
HCOCOHPAN,-0.65013885,-0.35745037,-1
NEOPO2,-1.6894206000000003,0.32032790000000005,-1
ETOMEO2,-1.5112165000000002,0.254121,33
CCL3O2,-1.760334,0.36966822,-1
C133O2,-1.3635237,-8.953531,55
C3MDIALOH,-0.71075934,-0.40189472,-1
NCRES1O2,-1.2124391,-5.6153884000000005,-1
C622PAN,-0.61649984,-2.7577415000000003,-1
C126CHO,-0.55205894,-2.4149926,-1
C518CHO,-0.6200201,-3.4181356,43
CHOC3COPAN,-0.6763445,-0.32482849999999996,7
C6COCHOPAN,-0.6127096,-0.35796624,-1
H3M3C6O2,-0.97172695,-6.943576299999999,53
C117O,-5.0783510000000005,-33.546513,-1
C127O,-5.130769,-33.830234999999995,-1
BIACETOOH,-1.0334376,-0.21764481,-1
H2M2CO5C6,-5.783655,1.1842462,-1
C615CO,-0.6414143,-0.4438669,10
CONM2PAN,-0.62854195,-0.3370161,2
HO3C4O2,-1.2252353,0.13687477,28
HOCH2CO2H,-0.8675759,-0.29800487,-1
CH2OOB,-0.7366522,-0.30857503,-1
COHM2PAN,-0.6319628,-0.32633868,2
C5PAN8,-0.8212513000000001,-0.06943158,20
PPEN,-0.8394629000000001,-0.09433874,-1
C511O2,-0.7360126,-4.1975765,46
DMCO2,-1.1405158000000002,-8.071413,-1
HO1CO34C5,-0.8834290000000001,-0.13297112,23
MMALNBPAN,-0.6277005,-0.34793179999999996,-1
C5PAN9,-0.6995545,-0.30781826,-1
NC3H7O,-2.395225,0.3812096,-1
C5PAN11,-0.72046477,-0.30266672,-1
C5COO2NO2,-0.67525566,-0.32206609999999997,7
C4DBDIKET,-0.70712936,-0.36013332,11
CH3CHOHCO3,-0.7733256,-0.18788344,-1
NOXYOL1O,-5.787364,-37.17394,58
NPHEN1O,-5.4331226,-34.589065999999995,-1
CHCL2CHO,-1.5675504999999998,0.30710235,-1
C727PAN,-0.51930434,-0.4464124,-1
EMPHPAN,-0.65812826,-0.32867503,-1
HOC6H4NO2,-0.5850443000000001,-3.6494657999999998,44
C729CHO,-0.5102769,-1.7154915000000002,-1
C8OHCO2PAN,-0.5702096999999999,-0.42819378,14
CH2OO,-0.67026705,-0.72365916,-1
