C66OOH,OCC(C)C(=O)C(C)OO
C66OH,OCC(C)C(=O)C(C)O
C66CO,CC(CO)C(=O)C(=O)C
DIEKAO2,CC(O[O])C(=O)CC
CO3C54CO3,CCC(=O)C(C)C(=O)O[O]
CO3C54CO3H,CCC(=O)C(C)C(=O)OO
C23C54CHO,O=CC(C)C(=O)C(=O)C
C23C54CO3,[O]OC(=O)C(C)C(=O)C(=O)C
C23C54CO3H,OOC(=O)C(C)C(=O)C(=O)C
CO23C54O2,CC(O[O])C(=O)C(=O)C
C6PAN7,O=N(=O)OOC(=O)C(C)C(=O)C(=O)C
M2PEDO2,CCCC(C)(C)O[O]
M2PEDO,CCCC(C)(C)[O]
M2PEDNO3,CCCC(C)(C)ON(=O)=O
HO2M2C5O2,[O]OCCCC(C)(C)O
HO2M2C5O,[O]CCCC(C)(C)O
HO2M2C5NO3,O=N(=O)OCCCC(C)(C)O
H2M2C4CHO,O=CCCC(C)(C)O
M2PEDOOH,CCCC(C)(C)OO
M2PEDOH,CCCC(C)(C)O
HO2M2C5OOH,OOCCCC(C)(C)O
HO2M2C5OH,OCCCC(C)(C)O
HO2M2C4O2,[O]OCCC(C)(C)O
H2M2C4CO3,[O]OC(=O)CCC(C)(C)O
H2M2C4CO3H,OOC(=O)CCC(C)(C)O
H2M2C4CO2H,OC(=O)CCC(C)(C)O
C6PAN8,O=C(OON(=O)=O)CCC(C)(C)O
C67O2,O=CCC(O[O])C(C)(C)O
C67O,O=CCC([O])C(C)(C)O
C67NO3,O=CCC(ON(=O)=O)C(C)(C)O
C67OOH,O=CCC(OO)C(C)(C)O
C67OH,O=CCC(O)C(C)(C)O
C67CHO,O=CCC(=O)C(C)(C)O
HO2M2C4O,[O]CCC(C)(C)O
HO2M2C4NO3,O=N(=O)OCCC(C)(C)O
HO2M2C4OOH,OOCCC(C)(C)O
HO2M2C4OH,OCCC(C)(C)O
C54O2,OCCC(C)(O)CO[O]
C54O,OCCC(C)(O)C[O]
C54NO3,OCCC(C)(O)CON(=O)=O
C54OOH,OCCC(C)(O)COO
C54OH,OCCC(C)(O)CO
H13C43CHO,CC(O)(CCO)C=O
H2M2C3CHO,O=CCC(C)(C)O
H2M2C3CO3,[O]OC(=O)CC(C)(C)O
H2M2C3CO3H,OOC(=O)CC(C)(C)O
C5PAN11,O=N(=O)OOC(=O)CC(C)(C)O
H13C43CO3,OCCC(C)(O)C(=O)O[O]
C5PAN12,OCCC(C)(O)C(=O)OON(=O)=O
H13C43CO3H,OCCC(C)(O)C(=O)OO
C67CO3,[O]OC(=O)CC(=O)C(C)(C)O
C6PAN9,O=N(=O)OOC(=O)CC(=O)C(C)(C)O
C67CO3H,OOC(=O)CC(=O)C(C)(C)O
C55O2,[O]OCC(=O)C(C)(C)O
C55O,[O]CC(=O)C(C)(C)O
C55OOH,OOCC(=O)C(C)(C)O
HCOCH2CHO,O=CCC=O
HCOCH2CO3,[O]OC(=O)CC=O
HCOCH2CO3H,OOC(=O)CC=O
HCOCH2CO2H,O=CCC(=O)O
M3PE,CCC(C)CC
M3PEAO2,CC(CCO[O])CC
M3PEAO,[O]CCC(C)CC
M3PEANO3,CCC(C)CCON(=O)=O
H1MC5O2,OCCC(C)C(C)O[O]
H1MC5O,OCCC(C)C(C)[O]
H1MC5NO3,OCCC(C)C(C)ON(=O)=O
H2M3C4CHO,CC(CC=O)C(C)O
M3PEAOOH,CC(CCOO)CC
M3PEAOH,OCCC(C)CC
M3C4CHO,CC(CC=O)CC
H1MC5OOH,OCCC(C)C(C)OO
M3C4CO3,CC(CC(=O)O[O])CC
C6PAN10,CCC(C)CC(=O)OON(=O)=O
M3C4CO3H,CC(CC(=O)OO)CC
H2M3C4O2,[O]OCC(C)C(C)O
H2M3C4CO3,[O]OC(=O)CC(C)C(C)O
H2M3C4NO3,O=N(=O)OCC(C)C(C)O
H2M3C4O,[O]CC(C)C(C)O
HO2C43CHO,CC(C=O)C(C)O
C56O2,[O]OCC(O)C(C)CO
C56O,[O]CC(O)C(C)CO
C56NO3,OCC(C)C(O)ON(=O)=O
C68O2,O=CCC(C)(O[O])C(C)O
C68O,CC([O])(CC=O)C(C)O
C68NO3,O=CCC(C)(ON(=O)=O)C(C)O
C6PAN11,O=C(OON(=O)=O)CC(C)C(C)O
H2M3C4CO3H,OOC(=O)CC(C)C(C)O
H2M3C4CO2H,OC(=O)CC(C)C(C)O
H2M3C4OOH,OOCC(C)C(C)O
HO13M2C4,OCC(C)C(C)O
C56OOH,OOCC(O)C(C)CO
C56OH,OCC(O)C(C)CO
C42CHO,OCC(C)C(O)C=O
C42CO3,OCC(C)C(O)C(=O)O[O]
C68OOH,O=CCC(C)(OO)C(C)O
C68OH,CC(O)(CC=O)C(C)O
C5PAN13,OCC(C)C(O)C(=O)OON(=O)=O
C42CO3H,OCC(C)C(O)C(=O)OO
HO2C43CO3,[O]OC(=O)C(C)C(C)O
HO2C43CO3H,OOC(=O)C(C)C(C)O
HO2C43CO2H,CC(O)C(C)C(=O)O
