,name,smiles,inchi,synonyms
141,TL4OHNO2O2,[O]OC1(O)C(=CC2(C)OOC1C2O)N(=O)=O,"InChI=1S/C7H8NO8/c1-6-2-3(8(11)12)7(10,15-13)5(4(6)9)14-16-6/h2,4-5,9-10H,1H3",
142,PHIC3O,CC(C)([O])c1ccccc1,"InChI=1S/C9H11O/c1-9(2,10)8-6-4-3-5-7-8/h3-7H,1-2H3",
143,OTNCATECO,CCC1=C(O)C([O])(O)C2(OOC1(C)C2O)N(=O)=O,"InChI=1S/C9H12NO8/c1-3-4-5(11)9(13,14)8(10(15)16)6(12)7(4,2)17-18-8/h6,11-13H,3H2,1-2H3",
144,OTNCATECH,CCc1c(C)cc(N(=O)=O)c(O)c1O,"InChI=1S/C9H11NO4/c1-3-6-5(2)4-7(10(13)14)9(12)8(6)11/h4,11-12H,3H2,1-2H3",
145,DM124O,[O]c1ccc(C)c(C)c1,"InChI=1S/C8H9O/c1-6-3-4-8(9)5-7(6)2/h3-5H,1-2H3",
146,PTCATEC1O,CCc1ccc(C)c(O)c1[O],"InChI=1S/C9H11O2/c1-3-7-5-4-6(2)8(10)9(7)11/h4-5,10H,3H2,1-2H3",
147,DMMBO2,COC(OC)O[O],"InChI=1S/C3H7O4/c1-5-3(6-2)7-4/h3H,1-2H3",
148,MTBKNO3,O=N(=O)OCC(C)(C)C(=O)C,"InChI=1S/C6H11NO4/c1-5(8)6(2,3)4-11-7(9)10/h4H2,1-3H3",
149,NISOPNO3,CC(=CCON(=O)=O)CON(=O)=O,"InChI=1S/C5H8N2O6/c1-5(4-13-7(10)11)2-3-12-6(8)9/h2H,3-4H2,1H3",
150,HNC524CO,OCC(ON(=O)=O)C(O)(CO)C=O,"InChI=1S/C5H9NO7/c7-1-4(13-6(11)12)5(10,2-8)3-9/h2,4,7,9-10H,1,3H2",
151,C720O,CC1=CCC([O])CC1O,"InChI=1S/C7H11O2/c1-5-2-3-6(8)4-7(5)9/h2,6-7,9H,3-4H2,1H3",
