name,PAN,Carb. Acid,Ester,Ether,Per. Acid,Hydroperoxide,Nitrate,Aldehyde,Ketone,Alcohol,Criegee,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,Aromatic rings,Carbons,HydroCarbon,Atoms,nogroups
C51CO2H,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6,0,9,0
C117NO3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,11,0,18,0
C112O,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,11,0,14,0
BCALBCO,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,15,0,18,0
IPBZMUCOH,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,9,0,14,0
C9M2CO6OH,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,10,0,13,0
H3M3C5NO3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,11,0
C152OOH,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,15,0,21,0
CO235C6CHO,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,0,11,0
NPHENO,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,14,0
C3PAN2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,10,0
C3PAN1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,10,0
IPBZMUCO2,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,9,0,15,0
NBUTOLBO,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,6,0
HO13C3CO3H,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,0,9,0
PE1ENEBO2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,0,8,0
C82OOH,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,8,0,12,0
HEXBO2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,8,0
M3HEXAOH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,8,0
