,source,target,flux
3120,C7CO2DBCO3,C7CO2DBPAN,[21.72408522 21.57110186]
3121,DMEBMUCO3,DMEBMUPAN,[24.84491591 24.54939105]
3122,C3H7CO3,PBN,[25.29093623 24.79763773]
3123,PBZMUCCO3,PBZMUCPAN,[24.32699208 23.70902627]
3124,PCATECOOA,PC3ODBCO2H,[22.90277333 16.70056818]
3125,C51OH2OOH,PE1ENEAO,[16.92828537 -inf]
3126,PE1ENEAO2,PE1ENEAO,[22.35913366 20.19221807]
3127,C52OH1OOH,PE1ENEBO,[16.47538362 -inf]
3128,PE1ENEBO2,PE1ENEBO,[21.88448465 19.44796976]
3129,C816CO3,C816PAN,[23.21738258 23.1513167 ]
3130,C52OH3OOH,PE2ENEAO,[20.37742842 -inf]
3131,PE2ENEAO2,PE2ENEAO,[25.55732238 24.07217089]
3132,C53OH2OOH,PE2ENEBO,[20.41891704 -inf]
3133,PE2ENEBO2,PE2ENEBO,[25.55732327 24.07217633]
3134,PEBNO3,PEBO,[21.87445215 -inf]
3135,PEBOOH,PEBO,[19.59788759 -inf]
3136,PEBO2,PEBO,[24.66082265 23.14529465]
3137,C105OOH,C105O,[15.91473064 -inf]
3138,C105O2,C105O,[19.78408464 18.34968077]
3139,C7CO2OHCO3,C7CO2OHPAN,[24.06135545 22.40362396]
3140,C61OH,C61O,[16.25161404 -inf]
3141,C61OOH,C61O,[17.82875033 -inf]
3142,C61NO3,C61O,[20.63540367 -inf]
3143,C61O2,C61O,[23.12507175 20.94307465]
3144,C4COMOHCO3,C4COMOHPAN,[19.4218153 20.11436702]
3145,C7CO3OHOOH,C7CO3OHO,[15.74088744 -inf]
3146,C7CO3OHO2,C7CO3OHO,[19.91776836 19.04164064]
3147,C41CO3,C5PAN7,[22.48838752 22.39669922]
3148,HO3C4CO3,C5PAN8,[23.36636116 22.70070383]
3149,C7DCOH,C7DCO,[17.73157242 -inf]
3150,C7DCOOH,C7DCO,[18.95305896 -inf]
3151,C7DCO2,C7DCO,[23.80835749 22.10777963]
3152,PETLMUCCO3,PETLMUCPAN,[24.37564053 24.10252619]
3153,CO23C4CO3,C5PAN9,[24.18377659 23.65999869]
3154,C7DCCO3,C7DCPAN,[25.0056052 24.02824882]
3155,HOCH2CO3,PHAN,[25.08979339 24.70018178]
3156,C8CO2OHCO3,C8O2OHCO3H,[15.08100271 15.9042714 ]
3157,PHCOCOCOOH,PHCOCOCO,[16.311204 -inf]
3158,PHCOCOCO2,PHCOCOCO,[19.3687119 19.35464737]
3159,PHCOETO2,PHCOETOOH,[20.71041451 22.11831995]
3160,C4DBM2CO3,C4DBM2PAN,[22.284413 21.91308545]
3161,C93OH,C93O,[16.14166316 -inf]
3162,C93OOH,C93O,[17.91550393 -inf]
3163,C93NO3,C93O,[20.80572284 -inf]
3164,C93O2,C93O,[23.11163729 20.92764228]
3165,C7DDCOH,C7DDCO,[18.78252072 19.67987035]
3166,C7DDCOOH,C7DDCO,[19.82162506 -inf]
3167,C7DDCO2,C7DDCO,[24.70650323 23.02526135]
3168,C6H13CO3,PHPTN,[23.79200437 23.21156839]
3169,C5H11CO3,PHXN,[23.30219016 22.78377581]
3170,PINALO2,PINALNO3,[22.50211434 21.85534618]
3171,C4DBMECO3,C4DBMEPAN,[22.27539414 22.03725854]
3172,NC524NO3,DNC524CO,[20.32815275 17.61171377]
3173,C123OH,C123O,[16.43725518 -inf]
3174,C123OOH,C123O,[18.29964599 -inf]
3175,C123NO3,C123O,[21.19496944 -inf]
3176,C123O2,C123O,[23.46181396 21.27348629]
3177,IPRCO3,PIPN,[25.56745147 25.13255304]
3178,DNCRESOOH,DNCRESO,[18.23096571 -inf]
3179,DNCRESO2,DNCRESO,[22.80613384 21.38383639]
3180,C4H9CO3,PPEN,[23.24343893 22.71070119]
3181,C2H5CO3,PPN,[26.61919392 25.96086582]
3182,DNEBNZLOOH,DNEBNZLO,[17.49735173 -inf]
