HEXBO2+NO --> HEXBNO3  6 r:6 p:0 
CO+BZFUONOO --> CO14O3CHO  -3 r:1 p:4 
BZFUONOO+NO --> CO14O3CHO+NO2  -4 r:0 p:4 
BZFUONOO+NO2 --> CO14O3CHO+NO3  -4 r:0 p:4 
SO2+BZFUONOO --> SO3+CO14O3CHO  -4 r:0 p:4 
BZFUONOO --> CO14O3CHO+H2O2  -4 r:0 p:4 
BZFUONOO --> CO14O3CO2H  -4 r:0 p:4 
HCOCOHCO3H --> HO2+GLYOX+OH  1 r:3 p:2 
CO2C4DIAL+OH --> CO+HO2  3 r:4 p:1 
CO2C4DIAL --> CO+HO2  3 r:4 p:1 
MCATEC1OOH+OH --> MCATEC1O2  7 r:7 p:0 
MC3CODBCO2 --> CH3O2+CO+GLYOX  1 r:5 p:4 
C3MCODBCO2 --> CO+HO2+MGLYOX  1 r:5 p:4 
C3MCODBPAN+OH --> CO+MGLYOX+NO2  1 r:5 p:4 
MC3CODBPAN+OH --> HCHO+CO+GLYOX+NO2  1 r:5 p:4 
TLFUONOO+CO --> ACCOMECHO  1 r:6 p:5 
HO2+CONM2CO3 --> MGLYOX+NO2+OH  1 r:4 p:3 
CONM2CO3+NO --> MGLYOX+NO2  1 r:4 p:3 
CONM2CO3+NO3 --> MGLYOX+NO2  1 r:4 p:3 
CONM2CO3 --> MGLYOX+NO2  1 r:4 p:3 
MACRNCO2H+OH --> ACETOL+NO2  1 r:4 p:3 
MACRNCO3H --> ACETOL+NO2+OH  1 r:4 p:3 
MACRNBCO2H+OH --> HO2+NOA  1 r:4 p:3 
MACRNBCO3H --> HO2+NOA+OH  1 r:4 p:3 
CHOMOHCO3H --> HO2+MGLYOX+OH  1 r:4 p:3 
CO2H3CO3H --> HO2+MGLYOX+OH  1 r:4 p:3 
HO2+CO2N3CO3 --> MGLYOX+NO2+OH  1 r:4 p:3 
CO2N3CO3+NO --> MGLYOX+NO2  1 r:4 p:3 
CO2N3CO3+NO3 --> MGLYOX+NO2  1 r:4 p:3 
CO2N3CO3 --> MGLYOX+NO2  1 r:4 p:3 
ACO2H+OH --> HCHO+CO+HO2  1 r:3 p:2 
ACO3H --> HCHO+CO+HO2+OH  1 r:3 p:2 
HMGLOO+CO --> HOCH2COCHO  1 r:4 p:3 
H13CO2CHO --> HOCH2CHO+CO+HO2  1 r:4 p:3 
H14CO23C4 --> HOCH2CO3  2 r:4 p:2 
CO+NC2OO --> NO3CH2CHO  1 r:3 p:2 
ACLOO+CO --> ACETOL  1 r:4 p:3 
CH3COCO3H --> CH3CO3+OH  1 r:3 p:2 
HC4ACO2H+OH --> ACETOL+CO+HO2  1 r:5 p:4 
