,source,target,flux
2123,IPBFUO2,IPBFUOOH,[9.2827207 9.23663405]
2124,IPBZBIPRO2,IPBZBPRNO3,[7.95890606 7.94614361]
2125,PBZN,C6H5OOH,[8.02530587 8.02530587]
2126,C6H5O2,C6H5OOH,[9.25539756 9.20931091]
2127,C52NO33O2,C52NO33OOH,[9.21771153 9.17162488]
2128,IPEAO2,IPEANO3,[7.67490941 7.66214695]
2129,IPEAO2,IPEAOOH,[9.21771153 9.17162488]
2130,IPEBO2,IPEBNO3,[8.10812518 8.09536272]
2131,C825O2,C825OOH,[9.30290003 9.25681338]
2132,IPEBO2,IPEBOOH,[9.21771153 9.17162488]
2133,IPECOOH,IPECO,[ -inf 14.79055252]
2134,IPECNO3,IPECO,[ -inf 14.37520859]
2135,IPECO2,IPECO,[ 9.29773969 11.4217253 ]
2136,CHOCOCH2O2,ALCOCH2OOH,[9.08491018 9.03882353]
2137,BPINCOH,BPINCO,[9.97173959 9.97173959]
2138,BPINCOOH,BPINCO,[ -inf 14.79055252]
2139,BPINCNO3,BPINCO,[ -inf 14.37520859]
2140,BPINCO2,BPINCO,[ 9.2819299 11.42161197]
2141,C5MEJCO3,C5MEJCO3H,[8.90027875 8.8655365 ]
2142,C6OTKETOH,C6OTKETCO,[9.28103337 9.28103337]
2143,C6OTKETOOH,C6OTKETCO,[9.64542227 9.64542227]
2144,C6OTKETO2,C6OTKETCO,[10.52272593 12.99429879]
2145,ISOPANO3,ACLOOA,[3.31175386 3.31175386]
2146,HC4ACHO,ACLOOA,[3.07918125 3.07918125]
2147,C3MDIALOOH,C3MDIALO,[ -inf 14.79055252]
2148,C3MDIALO2,C3MDIALO,[10.12490816 12.55780585]
2149,IPBENZOLO,IPRBQONE,[25.50514997 25.50514997]
2150,IPRHOCO3,IPRHOCO3H,[8.76487457 8.73013233]
2151,IPROPOLO2H,IPROPOLO,[ -inf 14.79055252]
2152,IPROPOLO2,IPROPOLO,[11.35855214 13.82797451]
2153,CH3CHOHCO3,IPROPOLPER,[8.90027875 8.8655365 ]
2154,ISOPBO2,ISOPBOOH,[9.21771153 9.17162488]
2155,LMKBOO,KLIMONONIC,[19.76899353 19.8204129 ]
2156,C817CO3,KLIMONONIC,[11.75449729 14.2259079 ]
2157,LIMALAOH,LIMALACO,[9.97034688 9.97034688]
2158,LIMALAOOH,LIMALACO,[10.02530587 10.02530587]
2159,LIMALAO2,LIMALACO,[10.52272593 12.99429879]
2160,LIMALAO2,LIMALAOOH,[9.32985303 9.28376638]
2161,LIMALBOH,LIMALBCO,[9.95616843 9.95616843]
2162,LIMALBOOH,LIMALBCO,[9.98811284 9.98811284]
2163,LIMALBO2,LIMALBCO,[ 9.92066594 12.3922388 ]
2164,PE1ENEBO2,C52OH1OOH,[9.21771153 9.17162488]
2165,C815CO2OOH,C815CO2O,[ -inf 14.85506454]
2166,C815CO2O2,C815CO2O,[11.00477065 13.47143639]
2167,LIMALO2,LIMALNO3,[7.72975807 7.71699561]
2168,PE2ENEAO2,C52OH3OOH,[9.21771153 9.17162488]
2169,C826CO3O2,C826CO3OOH,[9.30290003 9.25681338]
2170,NLIMO2,LIMBNO3,[ 9.71812235 12.18969522]
2171,LIMBO2,LIMBNO3,[8.3168409 8.30407845]
2172,LIMBO2,LIMBOOH,[9.32985303 9.28376638]
2173,LIMCO2,LIMCNO3,[8.3168409 8.30407845]
2174,LMKAO2,LMKAOOH,[9.32985303 9.28376638]
2175,C826O2,C826NO3,[7.79775514 7.78499268]
2176,NLMKAO2,LMKBNO3,[ 9.71812235 12.18969522]
2177,LMKBO2,LMKBNO3,[8.33911729 8.32635483]
2178,LMKBO2,LMKBOOH,[9.32985303 9.28376638]
2179,C3NO3COO2,C3NO3COOOH,[9.08491018 9.03882353]
2180,LMLKAOH,LMLKACO,[9.6599162 9.6599162]
2181,LMLKAOOH,LMLKACO,[9.76267856 9.76267856]
2182,LMLKAO2,LMLKACO,[10.52272593 12.99429879]
2183,LMLKAO2,LMLKAOOH,[9.32985303 9.28376638]
2184,LMLKBOH,LMLKBCO,[9.61172331 9.61172331]
2185,LMLKBOOH,LMLKBCO,[9.67851838 9.67851838]
2186,LMLKBO2,LMLKBCO,[ 9.92066594 12.3922388 ]
2187,ME2BU2OLO2,M2BU2OLOOH,[9.21771153 9.17162488]
2188,M2BUOL2O2,M2BUOL2NO3,[7.23765964 7.22489719]
2189,M2PEAO2,M2PEANO3,[7.85100067 7.83823821]
2190,M2PEAO2,M2PEAOOH,[9.25539756 9.20931091]
2191,M2PEBO2,M2PEBNO3,[8.23765965 8.22489719]
2192,M2PEBO2,M2PEBOOH,[9.25539756 9.20931091]
2193,M2PECO2,M2PECNO3,[8.23765965 8.22489719]
2194,CHOC3COO2,C413COOOH,[9.16478687 9.11870022]
2195,M2PECO2,M2PECOOH,[9.25539756 9.20931091]
2196,C41CO3,C41CO2H,[11.75449729 14.2259079 ]
2197,MACRNBCO3,MACRNBPAN,[8.95632115 8.94097822]
2198,MACROOH,MACRO,[ -inf 14.79055252]
2199,MACRO2,MACRO,[10.12452276 12.55780447]
2200,MACROHOOH,MACROHO,[ -inf 14.79055252]
2201,MACROHO2,MACROHO,[11.20455188 13.67307555]
2202,C715CO2OOH,C715CO2O,[ -inf 14.85506454]
2203,C715CO2O2,C715CO2O,[11.00477065 13.47143639]
2204,C124O2,C124OOH,[9.34525684 9.29917019]
2205,C534OOH,C534O,[ -inf 15.31834378]
2206,C534O2,C534O,[10.26852716 12.71266766]
2207,MC6CO2O2,MC6CO2OH,[ 9.71812235 12.18969522]
2208,C82O2,C82NO3,[8.19695214 8.18418968]
2209,C512O2,C512NO3,[7.67490941 7.66214695]
2210,MC7CO2O2,MC7CO2OOH,[9.30290003 9.25681338]
2211,MCOCOMOXO2,MCOCOMOOOH,[9.16478687 9.11870022]
2212,ME2BUOLO2,ME2BUOLNO3,[7.23765964 7.22489719]
2213,ME2BUOLOOH,ME2BUOLO,[ -inf 14.79055252]
2214,ME2BUOLO2,ME2BUOLO,[10.12434476 12.55780383]
2215,C5COCHOO2,C5COCHOOOH,[9.21771153 9.17162488]
2216,MECOACETO2,MECOACEOOH,[9.16478687 9.11870022]
2217,C535OOH,C535O,[ -inf 14.79055252]
2218,C535O2,C535O,[10.26852716 12.71266766]
2219,MC5DICARB,MEK2OOA,[2.39794001 2.39794001]
2220,MEKAO2,MEKANO3,[7.47741999 7.46465754]
2221,MEKAO2,MEKAOOH,[9.16478687 9.11870022]
2222,C716O2,C716OOH,[9.2827207 9.23663405]
2223,C717O2,C717NO3,[8.40295085 8.39018839]
2224,C717OH,C717O,[ -inf 16.51963093]
2225,C717OOH,C717O,[ -inf 16.52766036]
2226,C717NO3,C717O,[ -inf 16.52236398]
2227,C717O2,C717O,[10.46665876 12.9249222 ]
