,0,1,pr  0,dg  0,cl  0,bt  0,ev  0,pr  1,dg  1,cl  1,bt  1,ev  1
OCT3ONE,0.516647061987812,0.609144979063335,0.0002209046206737419,0.0015639662183296842,0.015697279706578526,0.0001759706671186966,1.3331263033940444e-10,0.000220282075491311,0.0015600624024961,0.011503212087853336,0.00017509314604793928,9.150998838538004e-11
DNPBNZOL,0.45087187561616215,0.5012624289716406,0.0001874126493989251,0.0009383797309978105,0.02135895482328193,0.00024643723014731815,5.209350645194988e-08,0.00017744814692240358,0.0009360374414976599,0.015600919386475951,0.0002452083102050674,5.163432234063234e-08
DNPETOL,0.46554192691293983,0.5175231448196009,0.00018726267713450263,0.0009383797309978105,0.017068575119891308,0.0002450670469773172,5.9435919819129135e-08,0.00017739843804652573,0.0009360374414976599,0.012932045701138227,0.000243844959790901,5.7981517489625295e-08
OET1OHNO2,0.48985627492996214,0.5288348561733115,0.00012796705319087774,0.0006255864873318737,0.014301512883300605,0.00010765724907150515,1.3087436763885394e-08,0.00012138055269970571,0.0006240249609984399,0.01110649343806551,0.00010712038968450124,2.4150408407885568e-08
OETHTOL,0.625167980876625,0.6253376897304038,4.803284947672407e-05,0.0012511729746637473,0.03864443029865577,0.0,1.556869310349693e-13,4.756229778152268e-05,0.0012480499219968799,0.03071880941775369,0.0,5.042471901228519e-14
OETLMUCCO,0.4183367625050921,0.44703627523185707,0.00020464686545926969,0.001876759461995621,0.02772617263635308,0.00013701831700009746,3.0345879402080656e-10,0.00020436039022412938,0.0018720748829953197,0.02204383963012992,0.00013633504141663793,3.0326711059728916e-10
OETLMUCNO3,0.44729279375580033,0.4624193894650071,5.956970894862383e-05,0.0006255864873318737,0.024628494666238288,0.0,5.1314467474551425e-11,5.840684514511889e-05,0.0006240249609984399,0.019059848272877555,0.0,3.122744572041642e-11
OETOH,0.3034647337153758,0.5072822252756083,5.78631431663147e-05,0.0015639662183296842,0.02539857295610057,7.340266982148079e-06,1.9319957762456526e-12,5.7644823633475135e-05,0.0015600624024961,0.01940198634993949,6.3298412086296186e-06,8.286403044522124e-13
DNPHEN,0.5547417767744675,0.6404493449200229,0.0005108678919717508,0.0009383797309978105,0.020139028095325553,0.0044250065475181476,0.0002008252385305762,0.00045031591538933363,0.0009360374414976599,0.01487787624286821,0.004442866853250909,0.00013297358318430853
OTNCATECH,0.3909448210843366,0.5684713249582017,0.0001408898388020317,0.0009383797309978105,0.016571792653431686,0.00010834234065650565,1.462048660028397e-09,0.00013046279822035486,0.0009360374414976599,0.012363583656257988,0.00010780206489158442,4.191894393878452e-08
